The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
When using these data, please cite as:
GLAMOS (1881-2021). The Swiss Glaciers 1880-2018/19, Glaciological Reports No 1-140, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series.

SWISS GLACIER LIST (AVAILABLE DATA)

glacier name;glacier id;coordx;coordy;glacier area;survey year for glacier area;length change;mass balance;volume change
;(according to Swiss Glacier Inventory);EPSG-ID=2056;EPSG-ID=2056;area;date;data available;data available;data available
;;x_LV95;Y_LV95;km2;yyyy;;;
Adlergletscher;B56-14;2634107;1095923;2.098;2015;0;1;0
Allalingletscher;B52-29;2635415;1097376;9.089;2015;1;1;1
Ammertegletscher E;A55f-01;2608024;1140522;0.889;2016;1;0;0
Bas Glacier d'Arolla;B73-14;2603981;1090382;5.069;2016;1;0;0
Bella Tola Gletscher;B61-02;2616379;1121196;0.094;2016;1;0;0
Bifertengletscher;A50i-12;2713535;1184502;2.595;2013;1;0;0
Bisgletscher;B58-08;2621598;1106872;4.180;2015;1;0;0
Blauschnee;A22-02;2744189;1235041;0.025;2014;0;1;0
Blüemlisalpgletscher;A55b-02;2625593;1149353;2.226;2018;1;0;0
Brunegggletscher;B60-20;2622444;1108209;None;None;1;0;0
Brunnifirn;A51d-15;2702202;1177516;2.192;2016;1;0;0
Chaltwassergletscher;B47-04;2650003;1122193;1.562;2017;1;0;0
Chelengletscher;A51f-15;2674023;1170534;1.765;2016;1;0;0
Chessjengletscher SE;B52-33;2637635;1101502;0.208;2015;1;0;1
Chline Gletscher (Pfäfers);A15b-05;2738559;1198595;0.226;2014;1;0;0
Claridenfirn;A50i-19;2710170;1188862;4.707;2013;1;1;1
Dalagletscher;B25-04;2620248;1140550;0.034;2016;1;0;0
Dammagletscher;A51f-10;2675836;1165229;3.774;2016;1;0;1
Eigergletscher;A54m-03;2643038;1157678;1.517;2018;1;0;0
Feegletscher zentral;B53-04;2633447;1103257;13.826;2015;1;0;1
Fieschergletscher E;B40-07;2653532;1151072;29.754;2017;1;0;1
Findelgletscher;B56-03;2634199;1093256;13.868;2015;1;1;1
Firnalpeligletscher NW;A51h-14;2676712;1180582;0.421;2016;1;0;0
Firnalpeligletscher SE;A51h-13;2677509;1180097;0.684;2016;1;0;0
Flachensteinfirn;A51f-23;2678209;1171151;2.271;2016;1;0;0
Gältegletscher NE;A56d-04;2592175;1133048;0.724;2016;1;0;0
Gamchigletscher;A55a-04;2628738;1149923;1.066;2018;1;0;0
Gauligletscher;A54i-05;2654950;1163000;10.829;2016;1;0;1
Ghiacciaio del Basòdino;C14-10;2679681;1140820;1.641;2018;1;1;1
Ghiacciaio del Cavagnöö;C14-17;2679092;1144703;0.174;2018;1;0;0
Ghiacciaio del Corno;C34-01;2673244;1145296;0.154;2018;1;0;0
Ghiacciaio del Pizzo Rotondo E;C35-03;2678645;1151510;None;None;1;0;0
Ghiacciaio de Mucia NW;C53-03;2728729;1148784;None;None;1;0;0
Ghiacciaio di Lucendro;A51e-16;2683030;1155151;0.013;2018;1;0;0
Ghiacciaio di Sasso Nero;C15-01;2685206;1144998;None;None;1;0;0
Ghiacciaio di Valleggia;C33-08;2681827;1146963;0.291;2018;1;0;0
Ghiacciaio di Val Torta;C33-04;2684482;1147055;0.033;2018;1;0;0
Ghiacciaio Grande di Croslina;C32-02;2699242;1143182;0.068;2018;1;0;0
Glacier de Boveire;B84-04;2586228;1090508;1.661;2016;1;0;0
Glacier de Cheilon;B74-08;2598710;1095161;3.512;2016;1;0;0
Glacier de Corbassière;B83-03;2589018;1089946;14.954;2016;1;1;1
Glacier de Ferpècle;B72-11;2611028;1094504;9.076;2016;1;0;1
Glacier de l'A Neuve S;B85-07;2570087;1087120;1.936;2016;1;0;0
Glacier de la Plaine Morte;A55f-03;2605490;1136628;7.320;2016;1;1;0
Glacier de l'En Darrey;B74-11;2595553;1095939;1.289;2016;1;0;0
Glacier de Moiry zentral;B64-02;2612718;1101733;5.003;2016;1;0;1
Glacier de Moming zentral;B62-10;2618827;1102860;5.434;2016;1;0;1
Glacier de Paneirosse;B17-02;2578359;1122658;0.312;2016;1;0;0
Glacier de Pièce;B73-15;2602817;1093605;1.282;2016;1;0;0
Glacier de Pierredar W;B16-05;2580305;1128321;0.315;2016;1;0;0
Glacier de Saleinaz;B85-16;2568551;1090970;6.690;2016;1;0;0
Glacier des Grands;B90-04;2565941;1094701;1.481;2016;1;0;0
Glacier des Martinets;B17-08;2572472;1116790;0.579;2016;1;0;0
Glacier de Tortin zentral;B75-12;2590203;1103284;0.576;2016;1;0;0
Glacier de Tsanfleuron;B22-01;2582852;1129869;2.443;2016;1;1;0
Glacier de Tsijiore Nouve zentral;B73-16;2600879;1093938;2.817;2016;1;0;0
Glacier de Valsorey;B84-15;2585899;1082282;2.029;2016;1;0;0
Glacier de Zinal;B63-05;2615506;1100739;13.455;2016;1;0;1
Glacier d'Orny;B85-23;2569499;1093682;1.313;2016;1;1;1
Glacier d'Otemma zentral;B82-27;2601423;1089492;12.598;2016;1;1;1
Glacier du Brenay;B82-19;2600296;1092098;7.074;2016;1;0;1
Glacier du Dar;B16-02;2582352;1130827;0.028;2016;1;0;0
Glacier du Giétro;B82-14;2596540;1092716;5.115;2016;1;1;1
Glacier du Mont Durand;B82-36;2590717;1085830;6.212;2016;1;0;1
Glacier du Mont Miné zentral;B72-15;2609015;1093869;10.054;2016;1;0;1
Glacier du Prapio N;B16-03;2582159;1129760;0.222;2016;1;0;0
Glacier du Sex Rouge;B16-01;2582546;1130648;0.263;2016;1;1;0
Glacier du Sonadon;B84-11;2588624;1086612;0.924;2016;1;0;0
Glacier du Trient;B90-02;2568025;1093356;5.759;2016;1;0;1
