# parameter: Precipitation Totals
# unit: mm
# source: http://www.zamg.ac.at/histalp
# csv-generated: 2024-10-10T05:08:15Z
# station: Obervellach-Flattach-Kleindorf
# abbr: OFK
# country_code: AT
# longitude: 13.2233
# latitude: 46.9289
# height: 809.0
# height-unit: m
# missing-value: 999999
#--------------------------------------
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec
1896;14;27;84;16;141;62;147;210;115;330;71;64;241;419;516;124;691;599;1281
1897;48;12;74;45;70;82;152;134;115;33;0;80;189;368;148;228;598;332;845
1898;23;125;71;63;140;157;79;77;64;106;256;11;274;313;426;130;580;497;1172
1899;107;12;5;87;77;55;71;56;123;30;2;116;169;182;155;228;469;355;741
1900;79;33;95;30;100;105;81;97;24;33;155;6;225;283;212;79;437;424;838
1901;9;64;157;70;87;144;64;118;138;119;42;124;314;326;299;287;621;480;1136
1902;42;121;32;44;84;77;157;116;80;119;27;99;160;350;226;176;558;339;998
1903;58;19;17;33;91;33;121;167;228;177;159;128;141;321;564;206;673;660;1231
1904;9;69;118;30;99;124;49;135;177;43;270;61;247;308;490;188;614;526;1184
1905;50;77;25;28;122;99;76;244;123;50;189;12;175;419;362;72;692;416;1095
1906;10;50;105;97;30;63;91;70;27;131;215;36;232;224;373;63;378;429;925
1907;17;10;20;99;160;118;99;162;73;323;13;55;279;379;409;71;711;439;1149
1908;2;14;32;137;73;122;73;186;82;79;6;31;242;381;167;101;673;315;837
1909;5;65;129;27;66;143;89;164;127;50;59;61;222;396;236;219;616;338;985
1910;63;95;10;29;193;122;163;174;38;31;118;61;232;459;187;83;719;395;1097
1911;12;10;163;42;27;97;104;74;131;167;177;73;232;275;475;119;475;498;1077
1912;29;17;35;50;106;123;162;175;83;160;45;8;191;460;288;37;699;298;993
1913;25;4;56;41;77;103;162;104;152;91;89;34;174;369;332;116;639;340;938
1914;43;39;44;45;290;53;167;122;45;221;43;69;379;342;309;239;722;517;1181
1915;86;84;14;60;73;39;163;41;101;66;116;31;147;243;283;113;477;446;874
1916;13;69;151;46;35;174;114;104;144;59;314;263;232;392;517;496;617;950;1486
1917;232;1;81;141;27;58;117;140;54;341;26;22;249;315;421;43;537;458;1240
1918;5;16;48;155;57;164;152;104;263;173;9;92;260;420;445;261;895;516;1238
1919;152;17;73;176;26;153;165;80;101;94;148;42;275;398;343;190;701;564;1227
1920;136;12;132;63;145;99;224;150;224;25;34;119;340;473;283;170;905;232;1363
1921;31;20;3;126;65;59;109;152;25;12;0;0;194;320;37;28;536;141;602
