# parameter: Mean temperature,
# unit: 0,1 °C
# source: http://www.zamg.ac.at/histalp,
# csv-generated: 2024-10-10T05:08:32Z,
# station: Obervellach-Flattach-Kleindorf,
# abbr: OFK,
# country_code: AT,
# longitude: 13.2233,
# latitude: 46.9289,
# height: 809.0,
# height-unit: m,
# missing-value: 999999,
#--------------------------------------,
year;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;mar-may;jun-aug;sep-nov;dec-feb;apr-sep;oct-mar;jan-dec,
1898;999999;2;17;81;112;140;161;169;135;98;47;1;70;157;93;2;133;30;999999,
1899;9;-4;28;65;108;143;166;173;126;80;28;-45;67;161;78;-11;130;13;73,
1900;5;8;0;57;110;150;185;150;142;89;39;-3;56;162;90;-37;132;5;78,
1901;-43;-66;14;66;107;156;170;159;128;78;8;8;62;162;71;3;131;19;65,
1902;3;-2;17;75;74;133;163;151;126;75;-7;-14;55;149;65;-18;120;9;66,
1903;-48;9;41;44;112;139;165;165;134;83;29;-14;66;156;82;-13;127;16;72,
1904;-31;5;25;77;122;162;180;161;114;82;25;-20;75;168;74;-21;136;14;75,
1905;-37;-5;36;61;105;151;187;163;141;35;27;-1;67;167;68;-11;135;8;72,
1906;-24;-9;19;53;119;151;177;167;124;93;44;-18;64;165;87;-14;132;20;75,
1907;-9;-14;21;47;116;151;152;159;132;105;31;0;61;154;89;-11;126;20;74,
1908;-43;9;16;43;136;155;161;138;117;72;-6;-20;65;151;61;-38;125;-8;65,
1909;-67;-28;-1;76;111;136;155;156;130;97;21;18;62;149;83;9;127;29;67,
1910;3;5;27;64;104;145;148;148;109;86;7;8;65;147;67;-2;120;19;71,
1911;-21;6;28;62;108;132;175;167;138;84;37;8;66;158;86;6;130;32;77,
1912;-7;17;55;56;113;143;155;135;82;56;-1;-13;75;144;46;-21;114;6;66,
1913;-29;-22;44;63;106;137;130;138;119;82;44;-5;71;135;82;-19;116;18;67,
1914;-49;-4;41;74;98;139;154;158;117;76;25;6;71;150;73;-6;123;17;70,
1915;-15;-8;20;63;121;165;167;153;113;61;-1;19;68;162;58;14;130;24;72,
1916;25;-3;41;74;126;124;157;160;110;71;32;4;80;147;71;-28;125;4;77,
1917;-30;-58;7;31;129;170;171;169;145;71;19;-25;56;170;78;-20;136;11;67,
1918;-28;-8;39;74;125;135;167;161;138;77;13;7;79;154;76;0;133;20;75,
1919;5;-13;32;52;104;154;146;178;134;60;-1;-30;63;159;64;-8;128;14;68,
1920;10;-4;51;83;150;149;176;155;134;80;-4;-1;95;160;70;6;141;23;82,
1921;17;1;43;58;133;168;189;176;141;102;3;-24;78;178;82;-17;144;17;84,
1922;-19;-7;44;45;137;161;168;177;117;64;19;5;75;169;67;8;134;25;76,
1923;2;18;43;64;118;119;175;172;117;95;36;-6;75;155;83;-7;128;22;79,
1924;-13;-2;21;60;134;149;163;136;134;76;23;5;72;149;78;6;129;20;74,
1925;-6;18;5;58;105;158;153;150;102;70;31;-27;56;154;68;-6;121;19;68,
1926;-19;29;29;64;94;124;151;161;151;82;62;12;62;145;98;0;124;31;78,
1927;0;-11;42;77;118;154;169;163;135;81;23;-18;79;162;80;-9;136;17;78,
1928;-21;13;21;73;94;153;180;166;120;74;38;-40;63;166;77;-68;131;-11;73,
1929;-73;-92;24;42;125;149;161;154;127;77;25;7;64;155;76;-12;126;18;61,
1930;-16;-26;41;75;119;164;146;148;128;63;31;-17;78;153;74;-21;130;4;71,
1931;-28;-18;-8;43;126;150;161;143;93;66;29;-30;54;151;63;-24;119;4;61,
1932;-10;-32;-2;56;117;140;162;189;162;75;31;-10;57;164;89;-17;138;14;73,
1933;-34;-7;31;72;103;130;172;164;133;77;8;-47;69;155;73;-27;129;7;67,
1934;-26;-7;34;79;129;146;177;153;139;74;17;22;81;159;77;-6;137;15;78,
1935;-30;-10;15;65;100;176;172;155;126;91;31;-20;60;168;83;1;132;27;73,
1936;19;3;38;68;111;137;159;153;128;45;13;-25;72;150;62;-19;126;3;71,
1937;-43;10;19;59;120;154;164;147;117;76;23;-27;66;155;72;-18;127;18;68,
1938;-9;-17;62;42;96;161;164;155;115;85;25;-34;67;160;75;-15;122;12;70,
1939;-11;-1;6;90;93;154;162;166;126;68;28;-48;63;161;74;-51;132;-9;69,
1940;-76;-30;1;67;108;145;160;151;135;75;36;-57;59;152;82;-37;128;6;60,
1941;-43;-10;34;61;89;151;162;143;111;74;-5;-15;61;152;60;-37;120;-1;63,
