X_CRS3413	Y_CRS3413	Z

-4575086.689968171	-1136213.947318093	2121.229105471
-4574978.3222147385	-1136189.9385784052	2017.8028357181
-4574954.313237508	-1136298.3059293749	1987.9552129768
-4574930.303620285	-1136406.6731154164	2012.1751783016
-4574906.293363076	-1136515.0401365086	2075.0601279265
-4574882.282465883	-1136623.4069926327	2111.6165289748
-4574917.970805988	-1135949.1960869594	2010.7853218572
-4574893.963273636	-1136057.5631277363	1931.801949689
-4574869.955101305	-1136165.930003627	1865.4123580572
-4574845.946288994	-1136274.296714613	1911.926516252
-4574821.9368367065	-1136382.6632606722	1917.2510592691
-4574797.926744455	-1136491.0296417882	1940.3266150107
-4574773.916012236	-1136599.3958579404	2002.8924440934
-4574749.904640057	-1136707.7619091112	2085.0695993422
-4574833.610730269	-1135816.8223913696	1988.0462950587
-4574809.604002763	-1135925.1889570344	1876.9133418027
-4574785.5966352895	-1136033.5553578374	1847.9939207818
-4574761.58862785	-1136141.9215937576	1848.4317968356
-4574737.579980452	-1136250.287664777	1848.8096298958
-4574713.5706931	-1136358.6535708746	1867.5615192258
-4574689.560765795	-1136467.0193120332	1894.9468050147
-4574665.550198548	-1136575.3848882334	1931.3473366242
-4574641.53899136	-1136683.7502994554	2007.1289094972
-4574617.527144234	-1136792.115545681	2070.5353812594
-4574593.514657177	-1136900.4806268916	2133.5525399266
-4574749.250324863	-1135684.4499757267	1947.414700791
-4574725.244402163	-1135792.8160662714	1868.2343935243
-4574701.237839507	-1135901.181991974	1834.8212407307
-4574677.230636902	-1136009.5477528193	1851.4305260617
-4574653.222794354	-1136117.913348788	1860.0560954558
-4574629.214311865	-1136226.27877986	1880.8115886455
-4574605.2051894395	-1136334.6440460132	1910.3062313067
-4574581.1954270825	-1136443.0091472345	1935.8853287494
-4574557.185024802	-1136551.3740835006	1961.7537918575
-4574533.173982596	-1136659.738854795	1972.4232693187
-4574509.162300474	-1136768.1034610963	2004.4149925763
-4574485.149978442	-1136876.4679023875	2036.4171715488
-4574461.1370165	-1136984.832178648	2128.4339685122
-4574664.8895898145	-1135552.0788400003	1921.2868530131
-4574640.884471881	-1135660.4444554148	1830.1837916106
-4574616.878714008	-1135768.80990601	1815.0756042824
-4574592.872316201	-1135877.1751917729	1836.1267955108
-4574568.865278462	-1135985.5403126809	1871.7151547473
-4574544.857600799	-1136093.905268715	1905.6803230188
-4574520.849283212	-1136202.2700598568	1932.2592935099
-4574496.84032571	-1136310.63468609	1989.0768799267
-4574472.830728296	-1136418.9991473898	2007.6197640357
-4574448.820490975	-1136527.363443743	2041.6124938869
-4574424.809613749	-1136635.7275751252	2018.3288683666
-4574400.798096627	-1136744.0915415217	1981.2927536556
-4574376.7859396115	-1136852.4553429133	2064.7887224928
-4574352.773142706	-1136960.8189792784	2112.1406635764
-4574556.524211968	-1135528.0741244382	1901.0248377601
-4574532.519258839	-1135636.4390999181	1801.0814455817
-4574508.513665791	-1135744.803910586	1787.6428494992
-4574484.507432824	-1135853.168556426	1819.920334097
-4574460.500559947	-1135961.5330374143	1897.2490324745
-4574436.493047164	-1136069.8973535358	1944.6009271519
-4574412.484894478	-1136178.261504768	2010.1074099269
-4574448.159474047	-1135504.0695736664	1853.6041143303
-4574424.154685719	-1135612.433909232	1777.3608403223
-4574400.149257487	-1135720.7980799936	1747.6197011486
-4574376.14318936	-1135829.1620859269	1791.4407613956
-4574352.13648134	-1135937.5259270174	1884.9875878987
-4574328.129133429	-1136045.889603243	1909.2238916265
-4574304.1211456405	-1136154.2531145853	1964.6424583579
-4574363.799359683	-1135371.7013272266	1916.4012157683
-4574339.795376034	-1135480.065187683	1778.7268550308
-4574315.790752499	-1135588.4288833549	1758.79644332
-4574291.785489084	-1135696.792414225	1753.3534631393
-4574267.779585789	-1135805.1557802747	1802.5163674832
