geometry,elevation
POINT (642888.1863490704 5357529.820711046),1238.18
POINT (642888.1863490704 5357629.820711046),1239.3291
POINT (642888.1863490704 5357729.820711046),1252.6582
POINT (642888.1863490704 5357829.820711046),1283.0529
POINT (642988.1863490704 5357529.820711046),1151.6649
POINT (642988.1863490704 5357629.820711046),1171.762
POINT (642988.1863490704 5357729.820711046),1266.1569
POINT (643088.1863490704 5357529.820711046),-32767.0
POINT (643088.1863490704 5357629.820711046),-32767.0
POINT (643088.1863490704 5357729.820711046),-32767.0
POINT (643188.1863490704 5357529.820711046),1117.2556
POINT (643188.1863490704 5357629.820711046),-32767.0
POINT (643188.1863490704 5357929.820711046),-32767.0
POINT (643288.1863490704 5357629.820711046),1092.6411
POINT (643288.1863490704 5357729.820711046),1152.648
POINT (643288.1863490704 5357929.820711046),1265.4958
POINT (643288.1863490704 5358029.820711046),1318.4225
POINT (643288.1863490704 5358129.820711046),-32767.0
POINT (643288.1863490704 5358229.820711046),-32767.0
POINT (643288.1863490704 5358329.820711046),1481.0358
POINT (643288.1863490704 5358429.820711046),1514.2826
POINT (643288.1863490704 5358929.820711046),1663.6088
POINT (643288.1863490704 5359029.820711046),1609.7548
POINT (643288.1863490704 5359129.820711046),1667.9934
POINT (643288.1863490704 5359229.820711046),1627.2516
POINT (643288.1863490704 5359329.820711046),1623.7161
POINT (643388.1863490704 5357629.820711046),1039.777
POINT (643388.1863490704 5357729.820711046),1100.0652
POINT (643388.1863490704 5357829.820711046),-32767.0
POINT (643388.1863490704 5357929.820711046),1202.8026
POINT (643388.1863490704 5358029.820711046),1248.6877
POINT (643388.1863490704 5358129.820711046),-32767.0
POINT (643388.1863490704 5358229.820711046),-32767.0
POINT (643388.1863490704 5358329.820711046),-32767.0
POINT (643388.1863490704 5358429.820711046),1491.5022
POINT (643388.1863490704 5358529.820711046),-32767.0
POINT (643388.1863490704 5358629.820711046),1634.1163
POINT (643388.1863490704 5358729.820711046),1655.1729
POINT (643388.1863490704 5358829.820711046),1654.0543
POINT (643388.1863490704 5358929.820711046),1609.8898
POINT (643388.1863490704 5359029.820711046),1542.9617
POINT (643388.1863490704 5359129.820711046),1586.0244
POINT (643388.1863490704 5359229.820711046),1579.7604
POINT (643388.1863490704 5359329.820711046),1582.9021
POINT (643488.1863490704 5357229.820711046),862.10815
POINT (643488.1863490704 5357429.820711046),911.3931
POINT (643488.1863490704 5357529.820711046),948.89886
POINT (643488.1863490704 5357629.820711046),986.8612
POINT (643488.1863490704 5357729.820711046),1018.2693
POINT (643488.1863490704 5357829.820711046),1075.5518
POINT (643488.1863490704 5357929.820711046),1128.1118
POINT (643488.1863490704 5358029.820711046),1193.8119
POINT (643488.1863490704 5358129.820711046),-32767.0
POINT (643488.1863490704 5358229.820711046),-32767.0
POINT (643488.1863490704 5358329.820711046),-32767.0
POINT (643488.1863490704 5358429.820711046),-32767.0
POINT (643488.1863490704 5358529.820711046),-32767.0
POINT (643488.1863490704 5358629.820711046),-32767.0
POINT (643488.1863490704 5358729.820711046),1609.3469
POINT (643488.1863490704 5358829.820711046),1598.6295
POINT (643488.1863490704 5358929.820711046),1564.8489
POINT (643488.1863490704 5359029.820711046),1495.1079
POINT (643488.1863490704 5359129.820711046),1503.336
POINT (643488.1863490704 5359229.820711046),1504.839
POINT (643488.1863490704 5359329.820711046),1545.2749
POINT (643588.1863490704 5356929.820711046),865.2025
POINT (643588.1863490704 5357029.820711046),842.07385
POINT (643588.1863490704 5357129.820711046),835.1051
POINT (643588.1863490704 5357429.820711046),870.7446
POINT (643588.1863490704 5357529.820711046),901.14557
POINT (643588.1863490704 5357629.820711046),936.90234
POINT (643588.1863490704 5357729.820711046),979.6731
POINT (643588.1863490704 5357829.820711046),1022.8422
POINT (643588.1863490704 5357929.820711046),1080.84
POINT (643588.1863490704 5358029.820711046),1111.3805
POINT (643588.1863490704 5358129.820711046),1161.8606
