Date,Runoff Amount
10/1/2005,60656
11/1/2005,8028
7/1/2006,113284
8/1/2006,58426
9/1/2006,51736
10/2/2005,25868
11/2/2005,7136
7/2/2006,126218
8/2/2006,61548
9/2/2006,75374
10/3/2005,17840
11/3/2005,5798
7/3/2006,152532
8/3/2006,67346
9/3/2006,96782
10/4/2005,13826
11/4/2005,5352
7/4/2006,207836
8/4/2006,64670
9/4/2006,107040
10/5/2005,11150
11/5/2005,5798
7/5/2006,193118
8/5/2006,74482
9/5/2006,98566
10/6/2005,75374
11/6/2005,5352
7/6/2006,109270
8/6/2006,96782
9/6/2006,90538
10/7/2005,39694
11/7/2005,5352
7/7/2006,114176
8/7/2006,94552
9/7/2006,86078
10/8/2005,14272
11/8/2005,5352
7/8/2006,134692
8/8/2006,97228
9/8/2006,74036
10/9/2005,15164
11/9/2005,4906
7/9/2006,169034
8/9/2006,81172
9/9/2006,60656
10/10/2005,50844
11/10/2005,28990
7/10/2006,119082
8/10/2006,75820
9/10/2006,65562
10/11/2005,37018
11/11/2005,18286
7/11/2006,105702
8/11/2006,78496
9/11/2006,78050
10/12/2005,119082
11/12/2005,7582
7/12/2006,116406
8/12/2006,70914
9/12/2006,40140
10/13/2005,35234
11/13/2005,6244
7/13/2006,94552
8/13/2006,88754
9/13/2006,28990
10/14/2005,34788
11/14/2005,5352
7/14/2006,82510
8/14/2006,41478
9/14/2006,17394
10/15/2005,50398
11/15/2005,5352
7/15/2006,102580
8/15/2006,84294
9/15/2006,14718
10/16/2005,35680
11/16/2005,4906
7/16/2006,108378
8/16/2006,58872
9/16/2006,37464
10/17/2005,39694
11/17/2005,4460
7/17/2006,77604
8/17/2006,86078
9/17/2006,45046
10/18/2005,56196
11/18/2005,4460
7/18/2006,66454
8/18/2006,91430
9/18/2006,42816
10/19/2005,51736
11/19/2005,4460
7/19/2006,56642
8/19/2006,107040
9/19/2006,50844
10/20/2005,18732
11/20/2005,4460
7/20/2006,71360
8/20/2006,90984
9/20/2006,50844
