Z,X,Y
2100,-121.0412711,48.3495477
2036.982666015625000,-121.0435298,48.349730737000073
2006.317871093750000,-121.0448557,48.349458761000051
1969.976562500000000,-121.0462038,48.349342352000065
1937.554321289062500,-121.0474973,48.348956404000035
1895.921630859375000,-121.0488167,48.348784102000081
1871.548950195312500,-121.0501683,48.348856186000035
1855.361328125000000,-121.0515181,48.348950697000078
1852.258056640625000,-121.0528647,48.349087307000048
1851.216308593750000,-121.0541309,48.349445821000074
1840.385253906250000,-121.0552302,48.350227259000064
1807.911987304687500,-121.0560588,48.351297499000054
1748.750976562500000,-121.0567417,48.352465400000028
1759.092285156250000,-121.0577042,48.353404970000042
1748.973754882812500,-121.0587249,48.354293660000053
1736.660888671875000,-121.0595324,48.355278410000039
1717.088012695312500,-121.0595948,48.356630465000080
1687.515991210937500,-121.0597677,48.357964763000041
1664.187133789062500,-121.0601319,48.359268329000031
1652.606201171875000,-121.060379,48.360588821000078
1677.339477539062500,-121.0603986,48.361942174000035
1686.864013671875000,-121.0605088,48.363285687000030
1660.336791992187500,-121.0607802,48.364611679000063
1648.887695312500000,-121.0610517,48.365937671000040
1643.915771484375000,-121.0613232,48.367263663000074
1629,-121.0615401,48.3678702
1615,-121.06518,48.37112
1613,-121.0673166,48.373205
