date,volume_m3,melt_on_glacier_monthly,liq_prcp_on_glacier_monthly,melt_off_glacier_monthly,liq_prcp_off_glacier_monthly,all_runoff_on_glacier,all_runoff_off_glacier,basin_runoff
1984-01,254788372.63474858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-02,254788372.63474858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-03,254788372.63474858,1.695483959619423e-07,0.0,4.0227473600245916e-08,0.0,1.695483959619423e-07,2.8612932549294587e-09,1.7240968921687175e-07
1984-04,254788372.63474858,8.477419798097115e-08,0.0,2.0113736800122958e-08,0.0,8.477419798097115e-08,1.4306466274647294e-09,8.620484460843588e-08
1984-05,254788372.63474858,55317198.82260922,0.0,111950711.87867883,12805046.140976463,55317198.82260922,8873607.437606255,64190806.260215476
1984-06,254788372.63474858,1328525630.8619726,456423662.5765724,506799116.1755754,137411393.3419516,1784949293.438545,45821301.23194964,1830770594.6704946
1984-07,254788372.63474858,3188382917.7672267,2107418.138427357,948073476.1288245,500076.2716723239,3190490335.905654,67469986.66283198,3257960322.5684857
1984-08,254788372.63474858,3233747991.7848125,266554455.19505247,958123539.8729076,63251594.79317261,3500302446.979865,72648205.86582543,3572950652.8456907
1984-09,254788372.63474858,1283174400.3213537,443780178.7467623,271417704.05273306,138360597.15029082,1726954579.068116,29146644.924813196,1756101223.9929292
1984-10,254788372.63474858,1.695483959619423e-07,0.0,583386.5077668807,0.0,1.695483959619423e-07,41495.021444250575,41495.02144442013
1984-11,254788372.63474858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984-12,254788372.63474858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-01,258304838.7235559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-02,258304838.7235559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-03,258304838.7235559,8.512561624642879e-08,0.0,1.9386929270946438e-08,0.0,8.512561624642879e-08,1.3789503787385352e-09,8.650456662516732e-08
1985-04,258304838.7235559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-05,258304838.7235559,355932151.6262988,43776146.45687405,251842093.4825251,58253168.878670335,399708298.08317286,22056405.81351958,421764703.89669245
1985-06,258304838.7235559,1700418192.1291797,516767153.9517703,572911921.0311148,124414951.65336893,2217185346.08095,49599353.34544523,2266784699.426395
1985-07,258304838.7235559,4160134188.3224597,11627669.940628901,999262198.386728,2636856.407542001,4171761858.2630887,71262914.39752558,4243024772.6606145
1985-08,258304838.7235559,3249155035.8387766,120717774.20805526,21787878.33274358,27375685.588776037,3369872810.046832,3496898.0462167882,3373369708.093049
1985-09,258304838.7235559,1108241430.512234,401376103.87594193,5201180.240531024,142874527.44456512,1509617534.388176,10532305.056703381,1520149839.4448793
1985-10,258304838.7235559,5767824.403129509,0.0,58056647.20077692,0.0,5767824.403129509,4129443.839555133,9897268.242684642
1985-11,258304838.7235559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985-12,258304838.7235559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-01,254822502.3863124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-02,254822502.3863124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-03,254822502.3863124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986-04,254822502.3863124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
