date,runoff
10/1/1992,111500
10/2/1992,102134
10/3/1992,99458
10/4/1992,57980
10/5/1992,42816
10/6/1992,35234
10/7/1992,29436
10/8/1992,26314
10/9/1992,24084
10/10/1992,41924
10/11/1992,75820
10/12/1992,101242
10/13/1992,74928
10/14/1992,35680
10/15/1992,24976
10/16/1992,20962
10/17/1992,20962
10/18/1992,88754
10/19/1992,121758
10/20/1992,106148
10/21/1992,115068
10/22/1992,82064
10/23/1992,111946
10/24/1992,100796
10/25/1992,49060
10/26/1992,39694
10/27/1992,28990
10/28/1992,23638
10/29/1992,19624
10/30/1992,16502
10/31/1992,14272
11/1/1992,13380
11/2/1992,12042
11/3/1992,10258
11/4/1992,12042
11/5/1992,11150
11/6/1992,17394
11/7/1992,76712
11/8/1992,32558
11/9/1992,20516
11/10/1992,14718
11/11/1992,12488
11/12/1992,10704
11/13/1992,9812
11/14/1992,11150
11/15/1992,10704
11/16/1992,16502
11/17/1992,12934
11/18/1992,12042
11/19/1992,10258
11/20/1992,8920
11/21/1992,28544
11/22/1992,48168
11/23/1992,15164
11/24/1992,8474
11/25/1992,7582
11/26/1992,5352
11/27/1992,12042
11/28/1992,7136
11/29/1992,5798
11/30/1992,38356
5/19/1993,49952
5/20/1993,130232
5/21/1993,129340
5/22/1993,94552
5/23/1993,78050
5/24/1993,90092
5/25/1993,93660
5/26/1993,99012
5/27/1993,111946
5/28/1993,120866
5/29/1993,129340
5/30/1993,124880
5/31/1993,155654
6/1/1993,149856
6/2/1993,118636
6/3/1993,107486
6/4/1993,109716
6/5/1993,136476
6/6/1993,128448
6/7/1993,135138
6/8/1993,90092
6/9/1993,112392
6/10/1993,108378
6/11/1993,67792
6/12/1993,48168
6/13/1993,40140
6/14/1993,76266
6/15/1993,119528
6/16/1993,122204
6/17/1993,127110
6/18/1993,135584
6/19/1993,148964
6/20/1993,132016
6/21/1993,104364
6/22/1993,71360
6/23/1993,49952
6/24/1993,41478
6/25/1993,61548
6/26/1993,86524
6/27/1993,106594
6/28/1993,68238
6/29/1993,53966
6/30/1993,52182
7/1/1993,57534
7/2/1993,61102
7/3/1993,71360
7/4/1993,82064
7/5/1993,86078
7/6/1993,78496
7/7/1993,77604
7/8/1993,91876
7/9/1993,98566
7/10/1993,97228
7/11/1993,96782
7/12/1993,84294
7/13/1993,75820
7/14/1993,86078
7/15/1993,100796
7/16/1993,94552
7/17/1993,99904
7/18/1993,135138
7/19/1993,129340
7/20/1993,200700
7/21/1993,131570
7/22/1993,107932
7/23/1993,106148
7/24/1993,118636
7/25/1993,130678
7/26/1993,167696
8/19/1993,180630
8/20/1993,150748
8/21/1993,112838
8/22/1993,134692
8/23/1993,202484
8/24/1993,88754
8/25/1993,53074
8/26/1993,47276
8/27/1993,47722
8/28/1993,53966
8/29/1993,59318
8/30/1993,69130
8/31/1993,77604
9/1/1993,84740
9/2/1993,107932
9/3/1993,118636
9/4/1993,111946
9/5/1993,128002
9/6/1993,123096
9/7/1993,128448
9/8/1993,119528
9/9/1993,137368
9/10/1993,130232
9/11/1993,83402
9/12/1993,45492
9/13/1993,39694
9/14/1993,50398
9/15/1993,46830
9/16/1993,47722
9/17/1993,48614
9/18/1993,44600
9/19/1993,36126
9/20/1993,23638
9/21/1993,17394
9/22/1993,13826
9/23/1993,13826
9/24/1993,14718
9/25/1993,20962
9/26/1993,39248
9/27/1993,61994
9/28/1993,68238
9/29/1993,84294
9/30/1993,75374
10/1/1993,67792
10/2/1993,86524
10/3/1993,89646
10/4/1993,72698
10/5/1993,63332
10/6/1993,76266
10/7/1993,35680
10/8/1993,34788
10/9/1993,29882
10/10/1993,24530
10/11/1993,28544
10/12/1993,39248
10/13/1993,53074
10/14/1993,41478
10/15/1993,51736
10/16/1993,31666
10/17/1993,22746
10/18/1993,16502
10/19/1993,15610
10/20/1993,11150
10/21/1993,9812
10/22/1993,37018
10/23/1993,17394
10/24/1993,70914
10/25/1993,37018
10/26/1993,35680
10/27/1993,32112
10/28/1993,69576
10/29/1993,30328
10/30/1993,23192
10/31/1993,17840
11/1/1993,12488
11/2/1993,9812
11/3/1993,9366
11/4/1993,7136
11/5/1993,5798
11/6/1993,4906
11/7/1993,4460
11/8/1993,3568
11/9/1993,3568
11/10/1993,3568
11/11/1993,3568
11/12/1993,3568
11/13/1993,3122
11/14/1993,3122
11/15/1993,3122
11/16/1993,3122
11/17/1993,3122
11/18/1993,3122
11/19/1993,3122
5/12/1994,82956
5/13/1994,81172
5/14/1994,68684
5/15/1994,46384
5/16/1994,33004
5/17/1994,26314
5/18/1994,26314
5/19/1994,33004
5/20/1994,34788
5/21/1994,35680
5/22/1994,41032
5/23/1994,46830
5/24/1994,59318
5/25/1994,81618
5/26/1994,78942
5/27/1994,61548
5/28/1994,45938
5/29/1994,37018
5/30/1994,33450
5/31/1994,32558
6/1/1994,33004
6/2/1994,32558
6/3/1994,43262
6/4/1994,59318
6/5/1994,49060
6/6/1994,42370
6/7/1994,33896
6/8/1994,28990
6/9/1994,34342
6/10/1994,50844
6/11/1994,60656
6/12/1994,97228
6/13/1994,115960
6/14/1994,70468
6/15/1994,54858
6/16/1994,45938
6/17/1994,43262
6/18/1994,47722
6/19/1994,44154
6/20/1994,63778
6/21/1994,96336
6/22/1994,115960
6/23/1994,111054
6/24/1994,94998
6/25/1994,102134
6/26/1994,110162
6/27/1994,105702
6/28/1994,126664
6/29/1994,139598
6/30/1994,124880
7/1/1994,198916
7/2/1994,143166
7/3/1994,85632
7/4/1994,71806
7/5/1994,82064
7/6/1994,119082
7/7/1994,139598
7/8/1994,147180
7/9/1994,135138
7/10/1994,132016
7/11/1994,132462
7/12/1994,137814
7/13/1994,160560
7/14/1994,165912
7/15/1994,178846
7/16/1994,195794
7/17/1994,173940
7/18/1994,193564
7/19/1994,169480
7/20/1994,218986
7/21/1994,231920
7/22/1994,201592
7/23/1994,206498
7/24/1994,223000
7/25/1994,216310
7/26/1994,166804
7/27/1994,140490
7/28/1994,137814
7/29/1994,139152
7/30/1994,140044
7/31/1994,121312
8/1/1994,134692
8/2/1994,161898
8/3/1994,178400
8/4/1994,181968
8/5/1994,163236
8/6/1994,134692
8/7/1994,117744
8/8/1994,143612
8/9/1994,105702
8/10/1994,120420
8/11/1994,137814
8/12/1994,151640
8/13/1994,159668
8/14/1994,153424
8/15/1994,147626
8/16/1994,126218
8/17/1994,138706
8/18/1994,137368
8/19/1994,119974
8/20/1994,123988
8/21/1994,105702
8/22/1994,104810
8/23/1994,109716
8/24/1994,99904
8/25/1994,78050
8/26/1994,104364
8/27/1994,107040
8/28/1994,113730
8/29/1994,154762
8/30/1994,128894
8/31/1994,127556
9/1/1994,95444
9/2/1994,88308
9/3/1994,125326
9/4/1994,102580
9/5/1994,91876
9/6/1994,112838
9/7/1994,101242
9/8/1994,103026
9/9/1994,66900
9/10/1994,58426
9/11/1994,47722
9/17/1994,120420
9/18/1994,104810
9/19/1994,91876
9/20/1994,99012
9/21/1994,90092
9/22/1994,102134
9/23/1994,96782
9/24/1994,96782
9/25/1994,78496
9/26/1994,68684
9/27/1994,89200
9/28/1994,100350
9/29/1994,75374
9/30/1994,83848
10/1/1994,119082
10/2/1994,44600
10/3/1994,34788
10/4/1994,34342
10/5/1994,28990
10/6/1994,24976
10/7/1994,29882
10/8/1994,32558
10/9/1994,36126
10/10/1994,33004
10/11/1994,25422
10/12/1994,17394
10/13/1994,12042
10/14/1994,10258
10/15/1994,8028
10/16/1994,7582
10/17/1994,8474
10/18/1994,8474
10/19/1994,7582
10/20/1994,12488
10/21/1994,11150
10/22/1994,6244
10/23/1994,5798
10/24/1994,5798
10/25/1994,7136
10/26/1994,55304
10/27/1994,18286
10/28/1994,12042
10/29/1994,8920
10/30/1994,7582
10/31/1994,8028
11/1/1994,7136
11/2/1994,5352
11/3/1994,4014
11/4/1994,14718
11/5/1994,7136
11/6/1994,4014
11/7/1994,3568
11/8/1994,4014
11/9/1994,5352
11/10/1994,2230
11/11/1994,2230
11/12/1994,2676
11/13/1994,1784
11/14/1994,2230
11/15/1994,2230
11/16/1994,3122
11/17/1994,1784
11/18/1994,1338
11/19/1994,3568
11/20/1994,4906
11/21/1994,2676
11/22/1994,1338
11/23/1994,892
11/24/1994,892
11/25/1994,892
11/26/1994,892
11/27/1994,892
11/28/1994,892
11/29/1994,892
11/30/1994,1338
12/1/1994,892
12/2/1994,892
12/3/1994,892
12/4/1994,892
12/5/1994,892
12/6/1994,892
12/7/1994,892
12/8/1994,892
12/9/1994,892
12/10/1994,892
12/11/1994,892
12/12/1994,892
12/13/1994,892
12/14/1994,892
12/15/1994,892
12/16/1994,892
12/17/1994,892
12/18/1994,2230
12/19/1994,1784
12/20/1994,5798
12/21/1994,4906
12/22/1994,1784
12/23/1994,892
12/24/1994,892
12/25/1994,892
12/26/1994,892
12/27/1994,1338
12/28/1994,2230
12/29/1994,1338
12/30/1994,892
12/31/1994,892
1/1/1995,892
1/2/1995,892
1/3/1995,892
1/4/1995,892
1/5/1995,892
1/6/1995,892
1/7/1995,892
1/8/1995,892
1/9/1995,892
1/10/1995,892
1/11/1995,892
1/12/1995,892
1/13/1995,892
1/14/1995,892
1/15/1995,892
1/16/1995,892
1/17/1995,892
1/18/1995,892
1/19/1995,892
1/20/1995,892
1/21/1995,892
1/22/1995,892
1/23/1995,892
1/24/1995,892
1/25/1995,892
1/26/1995,892
1/27/1995,892
1/28/1995,892
1/29/1995,892
1/30/1995,1338
1/31/1995,21854
2/1/1995,38356
