type	latitude	longitude	altitude (ft)	name	desc
T	48.349775200	-121.041097600	6950.3	1028215327-35035	Length: 3.668 km (2.279 mi)
T	48.349832300	-121.041483900	6902.6		
T	48.349860800	-121.041870100	6874.9		
T	48.349062200	-121.047191600	6800.0		
T	48.347978400	-121.051912300	6723.4		
T	48.349746700	-121.053371400	6637.1		
T	48.350744900	-121.053156900	6556.6		
T	48.352684300	-121.053843500	6484.8		
T	48.354480900	-121.055002200	6389.5		
T	48.355479100	-121.056675900	6327.1		
T	48.356819400	-121.057534200	6240.9		
T	48.359243200	-121.057834600	6161.1		
T	48.361552900	-121.058092100	6088.6		
T	48.362608000	-121.058950400	5996.4		
T	48.363149700	-121.059036300	5909.1		
T	48.363463300	-121.059122100	5845.0		
T	48.364860500	-121.059637100	5760.1		
T	48.367198400	-121.059808700	5695.7		
T	48.368624000	-121.062169100	5584.8		
T	48.369251200	-121.062769900	5521.8		
T	48.370020900	-121.063585300	5443.1		
T	48.370534100	-121.064143200	5374.2		
T	48.370876200	-121.064829800	5324.7		
