Day,October_2002,November_2002,December_2002,June_2003,July_2003,August_2003,September_2003
1,28098,5352,13380,nan,115960,161006,99904
2,24084,4906,11596,nan,92768,142274,116852
3,42370,4906,10258,nan,85632,122650,137814
4,36126,4906,9366,nan,84294,116406,136476
5,37910,4906,8920,nan,107932,121312,123542
6,39248,8474,nan,nan,121758,134246,112392
7,45046,10258,nan,nan,124434,115960,109716
8,43262,8474,nan,nan,122650,120866,92768
9,42816,7136,nan,138260,114176,135138,70468
10,35680,6244,nan,128894,136922,109270,99904
11,28098,5798,nan,118636,157438,90092,177954
12,23638,17840,nan,109716,163682,94106,105702
13,20070,13380,nan,107932,173494,99012,70914
14,17394,8474,nan,92322,144504,96782,62440
15,20962,7136,nan,82064,123988,119528,53074
16,20962,6690,nan,89200,116406,118190,41032
17,19624,6690,nan,121758,117744,118190,32112
18,16948,7136,nan,119082,124434,119528,78496
19,16948,7582,nan,96782,128448,114622,117298
20,18732,7136,nan,80726,128448,108824,69130
21,17394,5798,nan,64670,131124,114176,58872
22,16948,46830,nan,50844,141828,102134,76266
23,14718,28098,nan,42816,146734,90092,90538
24,12934,21854,nan,41924,131124,78496,77158
25,11150,17394,nan,66454,116852,97228,92322
26,10258,14272,nan,94106,125326,103026,98566
27,9366,13826,nan,144058,136922,97228,132908
28,8920,14718,nan,144950,140044,93214,132462
29,7582,16502,nan,160114,159668,94552,118190
30,6244,17394,nan,165466,164574,110608,112838
31,6244,,nan,,173494,105256,
