"AREA","LOWER","UPPER"
11052,1670.446875,1699.98828125
42388,1700.0078125,1749.99511719
51564,1750.00683594,1799.99414062
64656,1800.00195312,1850
73712,1850.00292969,1899.99902344
106328,1900.00585938,1950
144276,1950.00195312,2000
209664,2000.00195312,2050
287912,2050.00097656,2100
263176,2100.00195312,2149.99902344
202332,2150.00097656,2199.9921875
117776,2200.00195312,2249.99414062
55248,2250.00097656,2299.97851562
20696,2300.01855469,2350
13060,2350.015625,2399.99316406
9252,2400.00195312,2450
1848,2450.03222656,2476.87695312
