time,month_2d,rgi_id,hydro_year,hydro_month,calendar_year,calendar_month,calendar_month_2d,melt_on_glacier_monthly
2000.0,1,RGI60-02.18778,2000,4,2000,1,1,0.0
2000.0,2,RGI60-02.18778,2000,4,2000,1,2,0.0
2000.0,3,RGI60-02.18778,2000,4,2000,1,3,1.8274093e-07
2000.0,4,RGI60-02.18778,2000,4,2000,1,4,0.0
2000.0,5,RGI60-02.18778,2000,4,2000,1,5,436779300.0
2000.0,6,RGI60-02.18778,2000,4,2000,1,6,2201097700.0
2000.0,7,RGI60-02.18778,2000,4,2000,1,7,3497742000.0
2000.0,8,RGI60-02.18778,2000,4,2000,1,8,3387633400.0
2000.0,9,RGI60-02.18778,2000,4,2000,1,9,1894680000.0
2000.0,10,RGI60-02.18778,2000,4,2000,1,10,315606600.0
2000.0,11,RGI60-02.18778,2000,4,2000,1,11,0.0
2000.0,12,RGI60-02.18778,2000,4,2000,1,12,0.0
2001.0,1,RGI60-02.18778,2001,4,2001,1,1,0.0
2001.0,2,RGI60-02.18778,2001,4,2001,1,2,0.0
2001.0,3,RGI60-02.18778,2001,4,2001,1,3,0.0
2001.0,4,RGI60-02.18778,2001,4,2001,1,4,0.0
2001.0,5,RGI60-02.18778,2001,4,2001,1,5,175256930.0
2001.0,6,RGI60-02.18778,2001,4,2001,1,6,1313770500.0
2001.0,7,RGI60-02.18778,2001,4,2001,1,7,3544470800.0
2001.0,8,RGI60-02.18778,2001,4,2001,1,8,3210614000.0
2001.0,9,RGI60-02.18778,2001,4,2001,1,9,1117235100.0
2001.0,10,RGI60-02.18778,2001,4,2001,1,10,1.652519e-07
2001.0,11,RGI60-02.18778,2001,4,2001,1,11,1.652519e-07
2001.0,12,RGI60-02.18778,2001,4,2001,1,12,0.0
2002.0,1,RGI60-02.18778,2002,4,2002,1,1,0.0
2002.0,2,RGI60-02.18778,2002,4,2002,1,2,0.0
2002.0,3,RGI60-02.18778,2002,4,2002,1,3,0.0
2002.0,4,RGI60-02.18778,2002,4,2002,1,4,1.6569084e-07
2002.0,5,RGI60-02.18778,2002,4,2002,1,5,382851940.0
2002.0,6,RGI60-02.18778,2002,4,2002,1,6,1326326700.0
2002.0,7,RGI60-02.18778,2002,4,2002,1,7,3134388700.0
2002.0,8,RGI60-02.18778,2002,4,2002,1,8,4047612000.0
2002.0,9,RGI60-02.18778,2002,4,2002,1,9,1334305900.0
2002.0,10,RGI60-02.18778,2002,4,2002,1,10,3031474.2
2002.0,11,RGI60-02.18778,2002,4,2002,1,11,0.0
2002.0,12,RGI60-02.18778,2002,4,2002,1,12,0.0
2003.0,1,RGI60-02.18778,2003,4,2003,1,1,0.0
2003.0,2,RGI60-02.18778,2003,4,2003,1,2,0.0
2003.0,3,RGI60-02.18778,2003,4,2003,1,3,0.0
2003.0,4,RGI60-02.18778,2003,4,2003,1,4,6608838.0
2003.0,5,RGI60-02.18778,2003,4,2003,1,5,517046820.0
2003.0,6,RGI60-02.18778,2003,4,2003,1,6,1802063400.0
2003.0,7,RGI60-02.18778,2003,4,2003,1,7,3678929700.0
2003.0,8,RGI60-02.18778,2003,4,2003,1,8,3298106000.0
2003.0,9,RGI60-02.18778,2003,4,2003,1,9,1921914900.0
2003.0,10,RGI60-02.18778,2003,4,2003,1,10,21782428.0
2003.0,11,RGI60-02.18778,2003,4,2003,1,11,0.0
2003.0,12,RGI60-02.18778,2003,4,2003,1,12,0.0
2004.0,1,RGI60-02.18778,2004,4,2004,1,1,1.663658e-07
2004.0,2,RGI60-02.18778,2004,4,2004,1,2,0.0
2004.0,3,RGI60-02.18778,2004,4,2004,1,3,0.0
