time,month_2d,rgi_id,hydro_year,hydro_month,calendar_year,calendar_month,calendar_month_2d,melt_on_glacier_monthly
2000.0,1,RGI60-02.18778,2000,4,2000,1,1,3.6481356e-07
2000.0,2,RGI60-02.18778,2000,4,2000,1,2,0.0
2000.0,3,RGI60-02.18778,2000,4,2000,1,3,0.0
2000.0,4,RGI60-02.18778,2000,4,2000,1,4,0.0
2000.0,5,RGI60-02.18778,2000,4,2000,1,5,279726370.0
2000.0,6,RGI60-02.18778,2000,4,2000,1,6,2081420400.0
2000.0,7,RGI60-02.18778,2000,4,2000,1,7,3545466600.0
2000.0,8,RGI60-02.18778,2000,4,2000,1,8,3399065000.0
2000.0,9,RGI60-02.18778,2000,4,2000,1,9,1935033600.0
2000.0,10,RGI60-02.18778,2000,4,2000,1,10,150950960.0
2000.0,11,RGI60-02.18778,2000,4,2000,1,11,1.8240678e-07
2000.0,12,RGI60-02.18778,2000,4,2000,1,12,0.0
2001.0,1,RGI60-02.18778,2001,4,2001,1,1,0.0
2001.0,2,RGI60-02.18778,2001,4,2001,1,2,0.0
2001.0,3,RGI60-02.18778,2001,4,2001,1,3,0.0
2001.0,4,RGI60-02.18778,2001,4,2001,1,4,0.0
2001.0,5,RGI60-02.18778,2001,4,2001,1,5,335551550.0
2001.0,6,RGI60-02.18778,2001,4,2001,1,6,1096548900.0
2001.0,7,RGI60-02.18778,2001,4,2001,1,7,2953289700.0
2001.0,8,RGI60-02.18778,2001,4,2001,1,8,3439556600.0
2001.0,9,RGI60-02.18778,2001,4,2001,1,9,2113321000.0
2001.0,10,RGI60-02.18778,2001,4,2001,1,10,25131490.0
2001.0,11,RGI60-02.18778,2001,4,2001,1,11,0.0
2001.0,12,RGI60-02.18778,2001,4,2001,1,12,0.0
2002.0,1,RGI60-02.18778,2002,4,2002,1,1,0.0
2002.0,2,RGI60-02.18778,2002,4,2002,1,2,0.0
2002.0,3,RGI60-02.18778,2002,4,2002,1,3,0.0
2002.0,4,RGI60-02.18778,2002,4,2002,1,4,0.0
2002.0,5,RGI60-02.18778,2002,4,2002,1,5,63853760.0
2002.0,6,RGI60-02.18778,2002,4,2002,1,6,1980723200.0
2002.0,7,RGI60-02.18778,2002,4,2002,1,7,3483699200.0
2002.0,8,RGI60-02.18778,2002,4,2002,1,8,3130059300.0
2002.0,9,RGI60-02.18778,2002,4,2002,1,9,1803889800.0
2002.0,10,RGI60-02.18778,2002,4,2002,1,10,2.0653154e-08
2002.0,11,RGI60-02.18778,2002,4,2002,1,11,0.0
2002.0,12,RGI60-02.18778,2002,4,2002,1,12,0.0
2003.0,1,RGI60-02.18778,2003,4,2003,1,1,0.0
2003.0,2,RGI60-02.18778,2003,4,2003,1,2,0.0
2003.0,3,RGI60-02.18778,2003,4,2003,1,3,0.0
2003.0,4,RGI60-02.18778,2003,4,2003,1,4,0.0
2003.0,5,RGI60-02.18778,2003,4,2003,1,5,204628560.0
2003.0,6,RGI60-02.18778,2003,4,2003,1,6,2334081800.0
2003.0,7,RGI60-02.18778,2003,4,2003,1,7,3925127700.0
2003.0,8,RGI60-02.18778,2003,4,2003,1,8,3615731200.0
2003.0,9,RGI60-02.18778,2003,4,2003,1,9,2378279400.0
2003.0,10,RGI60-02.18778,2003,4,2003,1,10,576770240.0
2003.0,11,RGI60-02.18778,2003,4,2003,1,11,3.3037003e-07
2003.0,12,RGI60-02.18778,2003,4,2003,1,12,0.0
2004.0,1,RGI60-02.18778,2004,4,2004,1,1,0.0
2004.0,2,RGI60-02.18778,2004,4,2004,1,2,0.0
2004.0,3,RGI60-02.18778,2004,4,2004,1,3,0.0
2004.0,4,RGI60-02.18778,2004,4,2004,1,4,34121256.0
2004.0,5,RGI60-02.18778,2004,4,2004,1,5,501027200.0
2004.0,6,RGI60-02.18778,2004,4,2004,1,6,2331979500.0
2004.0,7,RGI60-02.18778,2004,4,2004,1,7,4009344000.0
2004.0,8,RGI60-02.18778,2004,4,2004,1,8,3921069600.0
2004.0,9,RGI60-02.18778,2004,4,2004,1,9,1625742800.0
2004.0,10,RGI60-02.18778,2004,4,2004,1,10,228463340.0
2004.0,11,RGI60-02.18778,2004,4,2004,1,11,0.0
2004.0,12,RGI60-02.18778,2004,4,2004,1,12,0.0
2005.0,1,RGI60-02.18778,2005,4,2005,1,1,0.0
2005.0,2,RGI60-02.18778,2005,4,2005,1,2,0.0
2005.0,3,RGI60-02.18778,2005,4,2005,1,3,0.0
2005.0,4,RGI60-02.18778,2005,4,2005,1,4,0.0
2005.0,5,RGI60-02.18778,2005,4,2005,1,5,1009175000.0
2005.0,6,RGI60-02.18778,2005,4,2005,1,6,1581253500.0
2005.0,7,RGI60-02.18778,2005,4,2005,1,7,3385422600.0
2005.0,8,RGI60-02.18778,2005,4,2005,1,8,3649438200.0
2005.0,9,RGI60-02.18778,2005,4,2005,1,9,1537219600.0
2005.0,10,RGI60-02.18778,2005,4,2005,1,10,281474240.0
2005.0,11,RGI60-02.18778,2005,4,2005,1,11,0.0
2005.0,12,RGI60-02.18778,2005,4,2005,1,12,0.0
2006.0,1,RGI60-02.18778,2006,4,2006,1,1,0.0
2006.0,2,RGI60-02.18778,2006,4,2006,1,2,1.6413414e-07
2006.0,3,RGI60-02.18778,2006,4,2006,1,3,0.0
2006.0,4,RGI60-02.18778,2006,4,2006,1,4,0.0
2006.0,5,RGI60-02.18778,2006,4,2006,1,5,469480400.0
2006.0,6,RGI60-02.18778,2006,4,2006,1,6,2283793200.0
2006.0,7,RGI60-02.18778,2006,4,2006,1,7,3908579800.0
2006.0,8,RGI60-02.18778,2006,4,2006,1,8,3293803800.0
2006.0,9,RGI60-02.18778,2006,4,2006,1,9,2152044000.0
2006.0,10,RGI60-02.18778,2006,4,2006,1,10,89748240.0
2006.0,11,RGI60-02.18778,2006,4,2006,1,11,0.0
2006.0,12,RGI60-02.18778,2006,4,2006,1,12,0.0
2007.0,1,RGI60-02.18778,2007,4,2007,1,1,0.0
2007.0,2,RGI60-02.18778,2007,4,2007,1,2,0.0
2007.0,3,RGI60-02.18778,2007,4,2007,1,3,0.0
2007.0,4,RGI60-02.18778,2007,4,2007,1,4,0.0
2007.0,5,RGI60-02.18778,2007,4,2007,1,5,434581630.0
2007.0,6,RGI60-02.18778,2007,4,2007,1,6,1625041300.0
2007.0,7,RGI60-02.18778,2007,4,2007,1,7,3998202600.0
2007.0,8,RGI60-02.18778,2007,4,2007,1,8,3251116800.0
2007.0,9,RGI60-02.18778,2007,4,2007,1,9,1625068200.0
2007.0,10,RGI60-02.18778,2007,4,2007,1,10,36432240.0
2007.0,11,RGI60-02.18778,2007,4,2007,1,11,0.0
2007.0,12,RGI60-02.18778,2007,4,2007,1,12,0.0
2008.0,1,RGI60-02.18778,2008,4,2008,1,1,0.0
2008.0,2,RGI60-02.18778,2008,4,2008,1,2,0.0
2008.0,3,RGI60-02.18778,2008,4,2008,1,3,0.0
2008.0,4,RGI60-02.18778,2008,4,2008,1,4,8.215161e-08
2008.0,5,RGI60-02.18778,2008,4,2008,1,5,541304900.0
2008.0,6,RGI60-02.18778,2008,4,2008,1,6,1361074000.0
2008.0,7,RGI60-02.18778,2008,4,2008,1,7,3207342800.0
2008.0,8,RGI60-02.18778,2008,4,2008,1,8,3427137500.0
2008.0,9,RGI60-02.18778,2008,4,2008,1,9,1932521900.0
2008.0,10,RGI60-02.18778,2008,4,2008,1,10,66588836.0
